image,tier,label,syllable,s3,dict,flag_quality_flag,y,fused_P,fusion_decision,fusion_reason,tier_fused
gold/yen2_page_0114_c06_117.png,GOLD,職,chức,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0114_c05_101.png,SILVER,麻,mà,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen2_page_0262_c02_035.png,SILVER,体,thấv,0.981,0.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen4_page_0116_c01_015.png,GOLD,半,bán,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0262_c02_036.png,GOLD,唉,ai,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0114_c07_136.png,SILVER,代,đời,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0114_c06_129.png,SILVER,礼,lấy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
syllable/yen4_page_0114_c06_128.png,SYLLABLE,,toan,0.981,0.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
,REVIEW,,mối,0.981,0.0,True,,1.0,keep,,REVIEW
silver/yen11_page_0168_c09_183.png,SILVER,重,trọng,0.981,1.0,True,,1.0,keep,,SILVER
silver/yen2_page_0106_c04_074.png,SILVER,代,dạy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0068_c07_159.png,SILVER,麻,mà,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen11_page_0168_c09_177.png,GOLD,赦,tha,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0114_c04_073.png,SILVER,丕,vậy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen4_page_0242_c06_099.png,GOLD,城,thành,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen4_page_0112_c09_165.png,GOLD,椊,Rút,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen11_page_0032_c08_159.png,GOLD,㝵,người,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen11_page_0274_c07_133.png,SILVER,麻,mà,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0038_c05_099.png,GOLD,于,tử,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0116_c03_044.png,SILVER,赦,tha,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen11_page_0032_c04_085.png,GOLD,哴,rằng,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen11_page_0090_c01_012.png,GOLD,𢜝,sợ,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0116_c04_072.png,SILVER,㝵,người,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0118_c05_107.png,SILVER,代,dạy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen4_page_0118_c05_104.png,GOLD,粂,chay,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen2_page_0040_c02_038.png,SILVER,丕,vậy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen2_page_0260_c08_136.png,SILVER,秋,su,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0104_c04_080.png,GOLD,連,liền,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen4_page_0240_c08_149.png,GOLD,嬈,nhiều,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
syllable/yen11_page_0092_c09_155.png,SYLLABLE,,thì,0.981,0.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen2_page_0104_c05_101.png,SILVER,命,mình,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen4_page_0116_c09_183.png,GOLD,𡀳,cùng,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen11_page_0290_c09_170.png,GOLD,官,quan,0.981,1.0,True,,1.0,keep,,GOLD
syllable/yen2_page_0104_c07_130.png,SYLLABLE,,lê,0.981,0.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen11_page_0250_c05_116.png,SILVER,几,couthermans,0.981,0.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen11_page_0112_c05_107.png,GOLD,几,kẻ,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0232_c04_059.png,GOLD,扲,cầm,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen4_page_0116_c05_091.png,SILVER,除,giờ,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0038_c05_093.png,GOLD,丕,vậy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0038_c05_087.png,GOLD,𧗱,về,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen11_page_0094_c01_009.png,SILVER,吱,chê,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
silver/yen2_page_0108_c09_144.png,SILVER,寺,thì,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
gold/yen2_page_0110_c01_006.png,GOLD,柴,thầy,0.981,1.0,False,,1.0,promote_gold,multi_channel_pass,GOLD
