item_id,verdict,book,page,iou,image_new,label_old,label_new,label_match,tier_new,status
7f833d0917321374,correct,yen11,page_0018,1.0,gold/yen11_page_0018_c05_094.png,麻,麻,True,GOLD,matched
3a7abd1c50596c14,correct,yen2,page_0016,1.0,gold/yen2_page_0016_c09_181.png,朱,朱,True,GOLD,matched
496bbf0770291fb7,correct,yen11,page_0114,1.0,gold/yen11_page_0114_c07_139.png,於,於,True,GOLD,matched
75b66675d06dd893,correct,yen2,page_0042,1.0,gold/yen2_page_0042_c07_143.png,耒,耒,True,GOLD,matched
534d701a2ba25006,correct,yen11,page_0148,1.0,gold/yen11_page_0148_c06_112.png,沁,沁,True,GOLD,matched
4e9fdaa4f3130f1c,correct,yen4,page_0154,1.0,gold/yen4_page_0154_c02_032.png,旦,旦,True,GOLD,matched
cc4a039c350297dd,correct,yen11,page_0060,1.0,gold/yen11_page_0060_c01_016.png,傷,傷,True,GOLD,matched
256fbaac15b78d80,correct,yen2,page_0276,1.0,gold/yen2_page_0276_c07_118.png,尼,尼,True,GOLD,matched
8dcbd4a8e3589eae,correct,yen2,page_0094,1.0,gold/yen2_page_0094_c05_096.png,主,主,True,GOLD,matched
62addaa3e08841ef,correct,yen2,page_0100,1.0,gold/yen2_page_0100_c01_009.png,恪,恪,True,GOLD,matched
a8013f463aa49a83,correct,yen11,page_0052,1.0,gold/yen11_page_0052_c05_086.png,麻,麻,True,GOLD,matched
947d2511f8e6b9f0,correct,yen4,page_0062,1.0,gold/yen4_page_0062_c05_091.png,之,之,True,GOLD,matched
a36c943cdd893269,correct,yen2,page_0058,1.0,gold/yen2_page_0058_c08_161.png,末,末,True,GOLD,matched
a67fda44b330803b,correct,yen2,page_0286,1.0,gold/yen2_page_0286_c09_156.png,麻,麻,True,GOLD,matched
9029b1577dad7414,correct,yen2,page_0240,1.0,gold/yen2_page_0240_c04_070.png,豸,豸,True,GOLD,matched
7a7eedfc10a13a9c,correct,yen2,page_0182,1.0,gold/yen2_page_0182_c03_055.png,連,連,True,GOLD,matched
9e3f311acfbb2564,correct,yen2,page_0088,1.0,gold/yen2_page_0088_c02_036.png,真,真,True,GOLD,matched
1a72cef20a99584d,correct,yen11,page_0270,1.0,gold/yen11_page_0270_c02_042.png,道,道,True,GOLD,matched
8a26b116f1d77096,correct,yen2,page_0146,1.0,gold/yen2_page_0146_c05_070.png,垩,垩,True,GOLD,matched
f37223619c1db595,correct,yen2,page_0196,1.0,gold/yen2_page_0196_c08_121.png,連,連,True,GOLD,matched
47da58cfaa9cb2a2,correct,yen2,page_0304,1.0,gold/yen2_page_0304_c07_135.png,把,把,True,GOLD,matched
02bd5aaab01dcec9,correct,yen2,page_0070,1.0,gold/yen2_page_0070_c09_151.png,共,共,True,GOLD,matched
294a0d5323bb0d7e,correct,yen11,page_0064,1.0,gold/yen11_page_0064_c06_116.png,時,時,True,GOLD,matched
13875d91667d3a3a,correct,yen11,page_0192,1.0,gold/yen11_page_0192_c08_161.png,𥘉,𥘉,True,GOLD,matched
e6ac0c6138bf6dce,correct,yen4,page_0182,1.0,gold/yen4_page_0182_c01_011.png,庄,庄,True,GOLD,matched
46c287ce48c87dad,correct,yen2,page_0192,1.0,gold/yen2_page_0192_c03_040.png,鬼,鬼,True,GOLD,matched
1fc4fe66bdfe4a85,correct,yen4,page_0242,1.0,gold/yen4_page_0242_c07_126.png,翁,翁,True,GOLD,matched
e871774e04ca9725,correct,yen2,page_0066,1.0,gold/yen2_page_0066_c01_019.png,虖,虖,True,GOLD,matched
57b13235162f2f68,correct,yen11,page_0076,1.0,gold/yen11_page_0076_c08_143.png,時,時,True,GOLD,matched
5c551a39201c69b7,correct,yen4,page_0264,1.0,gold/yen4_page_0264_c04_071.png,那,那,True,GOLD,matched
f44d4124deda4da0,correct,yen2,page_0284,1.0,gold/yen2_page_0284_c06_099.png,改,改,True,GOLD,matched
747d9a15493eb75c,correct,yen4,page_0140,1.0,gold/yen4_page_0140_c07_135.png,其,其,True,GOLD,matched
89cfd364ee5b93c4,correct,yen2,page_0210,1.0,gold/yen2_page_0210_c09_142.png,官,官,True,GOLD,matched
31d1924888ec887f,correct,yen4,page_0156,1.0,gold/yen4_page_0156_c03_034.png,畧,畧,True,GOLD,matched
faf81253ffc550ad,correct,yen11,page_0048,1.0,gold/yen11_page_0048_c02_027.png,体,体,True,GOLD,matched
476f2ab363c33dda,correct,yen2,page_0048,1.0,gold/yen2_page_0048_c04_068.png,髙,髙,True,GOLD,matched
9cc837a2226fea9b,correct,yen11,page_0142,1.0,gold/yen11_page_0142_c03_044.png,時,時,True,GOLD,matched
010fc822d16fe144,correct,yen11,page_0216,1.0,gold/yen11_page_0216_c08_165.png,吏,吏,True,GOLD,matched
